TestID	OracleID	Project	ClassName#TestName	TrueOracle	GenOracle	Correct
0	10	orientechnologies_orientdb	OClientConnectionTest#testValidToken	assertTrue(conn.getTokenBased());	assertTrue(handler.getTokenBased());	0
0	10	orientechnologies_orientdb	OClientConnectionTest#testValidToken	assertTrue(conn.getTokenBased());	assertTrue(handler.getTokenBased());	0
0	10	orientechnologies_orientdb	OClientConnectionTest#testValidToken	assertTrue(conn.getTokenBased());	assertTrue(handler.getTokenBased());	0
0	10	orientechnologies_orientdb	OClientConnectionTest#testValidToken	assertTrue(conn.getTokenBased());	assertTrue(handler.getTokenBased());	0
0	10	orientechnologies_orientdb	OClientConnectionTest#testValidToken	assertTrue(conn.getTokenBased());	assertTrue(conn.getTokenBased());	1
0	10	orientechnologies_orientdb	OClientConnectionTest#testValidToken	assertTrue(conn.getTokenBased());	assertEquals(true,handler.getTokenBased());	0
0	10	orientechnologies_orientdb	OClientConnectionTest#testValidToken	assertTrue(conn.getTokenBased());	assertTrue(conn.getTokenBased());	1
0	10	orientechnologies_orientdb	OClientConnectionTest#testValidToken	assertTrue(conn.getTokenBased());	assertTrue(conn.getTokenBased());	1
0	10	orientechnologies_orientdb	OClientConnectionTest#testValidToken	assertTrue(conn.getTokenBased());	assertFalse(handler.getTokenBased());	0
0	10	orientechnologies_orientdb	OClientConnectionTest#testValidToken	assertTrue(conn.getTokenBased());	assertTrue(server.getTokenBased());	0
1	10	orientechnologies_orientdb	OPropertyMapIndexDefinitionTest#testProcessChangeEventAddKeyWithConversion	assertEquals(keysToAdd,addedKeys);	removedKeys.put(12,2);	0
1	10	orientechnologies_orientdb	OPropertyMapIndexDefinitionTest#testProcessChangeEventAddKeyWithConversion	assertEquals(keysToAdd,addedKeys);	removedKeys.put(12,1);	0
1	10	orientechnologies_orientdb	OPropertyMapIndexDefinitionTest#testProcessChangeEventAddKeyWithConversion	assertEquals(keysToAdd,addedKeys);	addedKeys.put(12,2);	0
